priority_tier,account_name,website,segment,recommended_offer,annual_value_usd,why_fit,buyer_titles,first_message_angle
P2,Marsden Services,https://www.marsden.com,Janitorial/Facilities,Managed Retainer,72000,"Large-scale facility services organization with ongoing bid activity","VP Sales; Director of Proposals; COO","Create repeatable digest playbooks for large account pursuits"
P2,Flagship Facility Services,https://www.flagshipinc.com,Janitorial/Facilities,Managed Retainer,72000,"Multi-vertical facility scope increases proposal complexity","VP Business Development; Sales Operations Leader","Accelerate digest + risk identification for multi-vertical bids"
P2,GDI Integrated Facility Services (US),https://www.gdi.com,Janitorial/Facilities,Managed Retainer,72000,"Large facility footprint and recurring enterprise rebids","VP Sales; Capture/Proposal Leader","Improve deadline confidence and compliance traceability"
P2,KBS,https://www.kbs-services.com,Janitorial/Retail Facilities,Managed Retainer,72000,"Retail-heavy, high-volume opportunities benefit from structured digest","VP Sales; Proposal Director; Finance Partner","Cut manual analysis time on large retail RFP packages"
P2,SBM Management Services,https://sbmmanagement.com,Janitorial/Facilities,Managed Retainer,72000,"Enterprise programs often involve complex requirements and workflows","VP Strategic Solutions; Sales Leadership","Translate complex scopes into CFO-friendly action outputs"
P2,ABM Industries,https://www.abm.com,Facilities Services,Pilot Sprint,5500,"Large enterprise may start with proof-first pilot","VP Sales; Director of Proposals; Pursuit Excellence","Run one high-visibility digest sprint to prove turnaround and clarity"
P2,City Wide Facility Solutions,https://gocitywide.com,Facilities Services,Light Advisory,30000,"Franchise/distributed model may value lighter advisory support","Regional VP; Owner-Operator; Sales Leader","Introduce digest framework + coaching before full managed engagement"
P3,Allied Universal,https://www.aus.com,Security Guarding,Pilot Sprint,5500,"Very large org; pilot is realistic entry despite enterprise scale","Regional Sales Leader; Proposal Ops","Demonstrate measurable cycle-time reduction on one active bid"
P3,Securitas North America,https://www.securitasinc.com,Security Guarding,Pilot Sprint,5500,"Large incumbent with formal processes; pilot needed to wedge in","VP Sales; Bid/Proposal Leadership","Pilot focused on risk visibility and deadline discipline"
P3,GardaWorld Security Services US,https://www.garda.com,Security Guarding,Pilot Sprint,5500,"Scale and global structure suggest proof-based entry path","VP Sales; Strategic Accounts Leader","Use pilot to validate fit within current governance controls"
P3,Prosegur Security USA,https://www.prosegur.us,Security Guarding,Pilot Sprint,5500,"Competitive enterprise pursuits and mixed solution scope","VP Sales; Growth Leadership","Rapid digest for initial triage on high-stakes RFPs"
P3,ISS North America,https://www.issworld.com,Facilities Services,Pilot Sprint,5500,"Complex integrated-service opportunities suit digest pilot","VP Business Development; Proposal Leader","Start with one package to show compliance/risk compression"
P3,C&W Services,https://www.cwservices.com,Facilities Services,Pilot Sprint,5500,"Large enterprise accounts create heavy bid coordination demands","SVP Sales; National Accounts; Proposal Ops","Pilot to test speed and quality improvement on a live pursuit"
P3,JLL Work Dynamics,https://www.us.jll.com,Facilities Services,Pilot Sprint,5500,"Enterprise FM portfolio with complex response governance","Business Development Executive; Proposal Ops","Proof sprint to improve digest quality and team handoff speed"
P3,EMCOR Facilities Services,https://www.emcorfacilities.com,Facilities Services,Pilot Sprint,5500,"Technical and facilities mix benefits from structured requirement mapping","VP Business Development; Capture/Proposal Lead","Pilot on a complex scope to demonstrate clarity and prioritization"
